Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,Unnamed: 8,Factory W MA7,Daily Change %
2019-12-20 00:00:00,36,1705.0,1860.0,155.0,52.0,7.2,33779.0,0.0,1740.7142857142858,69.0909090909091
2019-12-21 00:00:00,25,1056.0,1170.0,114.0,47.0,6.6,34949.0,0.0,1710.7142857142858,-37.096774193548384
2019-12-22 00:00:00,48,2404.0,2615.0,211.0,54.0,23.2,37564.0,0.0,1721.4285714285713,123.50427350427351
2019-12-23 00:00:00,25,1635.0,1755.0,120.0,70.0,1.0,39319.0,0.0,1568.5714285714287,-32.88718929254302
2019-12-24 00:00:00,28,1707.0,1840.0,133.0,66.0,0.0,41159.0,0.0,1662.857142857143,4.843304843304841
2019-12-25 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.142857142857,-100.0
2019-12-26 00:00:00,-,0.0,0.0,0.0,0.0,2.8,0.0,0.0,1320.0,
2019-12-27 00:00:00,53,2905.0,3265.0,360.0,62.0,3.0,44424.0,0.0,1520.7142857142858,inf
2019-12-28 00:00:00,46,2898.0,3265.0,217.0,58.0,0.0,47689.0,0.0,1820.0,0.0
2019-12-29 00:00:00,57,3183.0,3400.0,217.0,45.0,13.6,51089.0,0.0,1932.142857142857,4.134762633996947
2019-12-30 00:00:00,56,3556.0,3920.0,364.0,70.0,0.0,55009.0,0.0,2241.4285714285716,15.294117647058814
2019-12-31 00:00:00,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.5714285714287,-100.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.5714285714287,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.5714285714287,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.142857142857,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.7142857142858,
0,57,3835.0,416.0,325.0,73.0,300.0,4160.0,0.0,619.4285714285714,inf
0,52,2567.0,2770.0,203.0,53.0,7.1,69360.0,0.0,455.14285714285717,565.8653846153845
0,48,100.0,0.0,0.0,0.0,6.1,100.0,0.0,455.14285714285717,-100.0
0,27,826.0,910.0,84.0,34.0,0.0,7840.0,0.0,585.1428571428571,inf
0,26,48.0,0.0,0.0,0.0,0.0,148.0,0.0,585.1428571428571,-100.0
0,13,588.0,640.0,52.0,49.0,0.0,8480.0,0.0,676.5714285714286,inf
0,39,2219.0,2370.0,151.0,61.0,1.8,10850.0,0.0,1015.1428571428571,270.3125
0,40,2763.0,2910.0,147.0,73.0,0.0,13760.0,0.0,1371.4285714285713,22.78481012658229
0,36,2919.0,3060.0,141.0,85.0,0.0,16820.0,0.0,1412.857142857143,5.154639175257736
0,39,3046.0,3320.0,274.0,85.0,0.0,20140.0,0.0,1887.142857142857,8.496732026143782
0,38,3193.0,3460.0,267.0,91.0,0.0,23600.0,0.0,2251.4285714285716,4.216867469879526
0,48,2234.0,2630.0,396.0,55.0,0.0,26320.0,0.0,2627.1428571428573,-23.988439306358377
0,17,764.0,820.0,56.0,48.0,0.0,27050.0,0.0,2652.8571428571427,-68.8212927756654
0,26,698.0,780.0,91.0,30.0,0.0,27830.0,0.0,2425.714285714286,-4.878048780487809
0,46,2386.0,2630.0,244.0,57.0,0.0,30460.0,0.0,2385.714285714286,237.17948717948718
0,46,56.0,12.0,0.0,0.0,0.0,320.0,0.0,1950.2857142857142,-99.54372623574145
0,36,1972.0,2100.0,128.0,58.0,1.9,32560.0,0.0,1776.0,17400.0
0,27,1328.0,1400.0,72.0,52.0,0.0,33960.0,0.0,1481.7142857142858,-33.333333333333336
0,33,1630.0,1740.0,110.0,53.0,1.0,35680.0,0.0,1354.5714285714287,24.28571428571429
0,38,1483.0,1640.0,157.0,43.0,0.0,37320.0,0.0,1471.7142857142858,-5.747126436781613
0,36,1800.0,1950.0,150.0,54.0,1.0,39270.0,0.0,1638.857142857143,18.90243902439024
0,33,1043.0,1150.0,107.0,35.0,0.0,40420.0,0.0,1427.4285714285713,-41.02564102564102
0,39,1284.0,1450.0,166.0,37.0,0.0,41870.0,0.0,1632.857142857143,26.086956521739136
0,31,55.0,0.0,0.0,0.0,0.0,375.0,0.0,1332.857142857143,-100.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.857142857143,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.2857142857143,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.42857142857144,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.14285714285714,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,28,1056.0,1140.0,84.0,41.0,0.0,1140.0,0.0,162.85714285714286,inf
0,30,809.0,910.0,101.0,30.0,0.0,2050.0,0.0,292.85714285714283,-20.175438596491226
0,15,8.0,0.0,0.0,0.0,0.0,428.0,0.0,292.85714285714283,-100.0
0,36,930.0,1080.0,150.0,30.0,0.0,3130.0,0.0,447.14285714285717,inf
0,32,817.0,900.0,83.0,28.0,1.7,4030.0,0.0,575.7142857142857,-16.666666666666664
0,31,634.0,700.0,66.0,23.0,0.0,4730.0,0.0,675.7142857142857,-22.22222222222222
0,26,883.0,970.0,87.0,37.0,0.0,5700.0,0.0,814.2857142857143,38.57142857142857
0,26,727.0,850.0,123.0,27.0,0.0,6550.0,0.0,772.8571428571429,-12.371134020618557
0,46,1113.0,1290.0,177.0,28.0,0.0,7840.0,0.0,827.1428571428571,51.764705882352935
0,38,809.0,940.0,131.0,25.0,0.0,8780.0,0.0,961.4285714285714,-27.13178294573644
0,45,2293.0,2400.0,107.0,53.0,0.0,11180.0,0.0,1150.0,155.31914893617022
0,49,1769.0,1970.0,262.0,40.0,0.0,13150.0,0.0,1302.857142857143,-17.91666666666667
0,37,580.0,730.0,150.0,18.0,0.0,13880.0,0.0,1307.142857142857,-62.944162436548226
0,47,1614.0,1770.0,156.0,38.0,0.0,15650.0,0.0,1421.4285714285713,142.46575342465752
0,39,881.0,1030.0,149.0,26.0,0.0,16680.0,0.0,1447.142857142857,-41.80790960451978
0,35,519.0,620.0,101.0,18.0,0.0,17300.0,0.0,1351.4285714285713,-39.80582524271845
0,37,987.0,1100.0,113.0,30.0,0.0,18400.0,0.0,1374.2857142857142,77.41935483870968
0,38,1134.0,1250.0,116.0,33.0,0.0,19650.0,0.0,1210.0,13.636363636363647
0,25,746.0,830.0,84.0,33.0,1.0,20480.0,0.0,1047.142857142857,-33.599999999999994
0,45,932.0,1090.0,158.0,24.0,0.0,21570.0,0.0,1098.5714285714287,31.32530120481927
0,43,1171.0,1200.0,29.0,28.0,0.0,22770.0,0.0,1017.1428571428571,10.091743119266061
0,46,1598.0,1810.0,212.0,39.0,26.0,24580.0,0.0,1128.5714285714287,50.83333333333333
0,42,716.0,860.0,144.0,20.0,14.0,28940.0,0.0,1162.857142857143,-52.48618784530387
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.7142857142857,-100.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.1428571428571,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.5714285714286,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.8571428571429,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.42857142857144,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.85714285714286,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,44,2453.0,2800.0,347.0,64.0,0.0,2800.0,0.0,400.0,inf
0,46,1751.0,1965.0,214.0,43.0,1.8,4765.0,0.0,680.7142857142857,-29.821428571428577
0,46,1713.0,1950.0,237.0,42.0,1.0,6715.0,0.0,959.2857142857143,-0.7633587786259555
0,36,1178.0,1320.0,147.0,37.0,2.0,8035.0,0.0,1147.857142857143,-32.30769230769231
0,31,964.0,1095.0,131.0,35.0,0.0,9130.0,0.0,1304.2857142857142,-17.04545454545454
0,0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,1304.2857142857142,-100.0
0,41,1497.0,1680.0,183.0,41.0,0.0,10810.0,0.0,1544.2857142857142,inf
0,43,1860.0,2015.0,155.0,47.0,0.0,12825.0,0.0,1432.142857142857,19.940476190476186
0,47,2097.0,2280.0,183.0,49.0,5.1,15105.0,0.0,1477.142857142857,13.151364764267992
0,38,2248.0,2420.0,172.0,0.0,12.2,17525.0,0.0,1544.2857142857142,6.140350877192979
0,41,2118.0,2320.0,202.0,12.0,57.0,19845.0,0.0,1687.142857142857,-4.1322314049586755
0,42,1855.0,2050.0,195.0,49.0,4.0,21895.0,0.0,1823.5714285714287,-11.637931034482762
0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1823.5714285714287,-100.0
0,30,1441.0,1640.0,199.0,55.0,1.0,23535.0,0.0,1817.857142857143,inf
0,39,1938.0,2100.0,162.0,54.0,1.8,25635.0,0.0,1830.0,28.04878048780488
0,31,1565.0,1710.0,145.0,55.0,1.0,27345.0,0.0,1748.5714285714287,-18.571428571428573
0,48,2213.0,2410.0,197.0,50.0,12.8,29755.0,0.0,1747.142857142857,40.935672514619895
0,49,1992.0,2220.0,228.0,45.0,46.2,31975.0,0.0,1732.857142857143,-7.883817427385898
0,21,1070.0,1190.0,111.0,57.0,2.8,33165.0,0.0,1610.0,-46.3963963963964
0,0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1610.0,-100.0
0,36,2112.0,2285.0,173.0,63.0,6.0,35450.0,0.0,1702.142857142857,inf
0,44,3018.0,3355.0,337.0,76.0,5.8,38805.0,0.0,1881.4285714285713,46.82713347921226
0,0,1918.0,2075.0,157.0,0.0,11.8,40880.0,0.0,1933.5714285714287,-38.152011922503725
0,44,2087.0,2250.0,163.0,51.0,0.0,43130.0,0.0,1910.7142857142858,8.43373493975903
0,41,2034.0,2245.0,211.0,55.0,2.8,45375.0,0.0,1914.2857142857142,-0.22222222222222365
0,44,1737.0,1890.0,153.0,43.0,7.4,47265.0,0.0,2014.2857142857142,-15.812917594654785
0,44,2981.0,3195.0,214.0,73.0,7.6,50460.0,0.0,2470.714285714286,69.04761904761905
0,41,2038.0,2215.0,177.0,54.0,4.0,52675.0,0.0,2460.714285714286,-30.672926447574334
0,50,3319.0,3640.0,321.0,73.0,2.0,56315.0,0.0,2501.4285714285716,64.33408577878103
0,59,4285.0,4715.0,430.0,80.0,0.0,61030.0,0.0,2878.5714285714284,29.53296703296704
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2557.1428571428573,-100.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236.4285714285716,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.4285714285713,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.5714285714287,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.5714285714286,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,Pluckers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,
0,44,2649.0,2915.0,266.0,66.0,31.4,2915.0,0.0,416.42857142857144,inf
0,41,1757.0,1980.0,223.0,48.0,53.4,4895.0,0.0,699.2857142857143,-32.07547169811321
0,38,1414.0,1480.0,66.0,39.0,9.0,6375.0,0.0,910.7142857142857,-25.25252525252525
0,28,997.0,1100.0,103.0,39.0,22.0,7475.0,0.0,1067.857142857143,-25.67567567567568
0,28,1305.0,1420.0,115.0,51.0,0.0,8895.0,0.0,1270.7142857142858,29.0909090909091
0,28,1074.0,1180.0,106.0,42.0,42.2,10075.0,0.0,1439.2857142857142,-16.901408450704224
0,43,1924.0,2120.0,196.0,49.0,25.6,12195.0,0.0,1742.142857142857,79.66101694915255
0,37,1529.0,1705.0,176.0,46.0,1.4,13724.0,0.0,1569.2857142857142,-19.575471698113212
0,38,2250.0,2440.0,190.0,64.0,9.6,16164.0,0.0,1635.0,43.10850439882699
0,39,2192.0,2545.0,353.0,65.0,0.0,18709.0,0.0,1787.142857142857,4.303278688524581
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,-100.0
0,46,2128.0,2520.0,392.0,55.0,0.0,21229.0,0.0,1787.142857142857,inf
0,45,1513.0,1745.0,232.0,39.0,5.8,22974.0,0.0,1867.857142857143,-30.753968253968257
0,0,996.0,49775.0,55009.0,5234.0,288.4,55135.0,0.0,8675.714285714286,2752.43553008596
