Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
1/2/2021,53,2100,2445,345,46,0.0,,
2/2/2021,53,2127,2425,298,46,0.0,,
3/2/2021,51,2292,2475,183,49,0.0,,
4/2/2021,47,1657,1820,163,39,0.0,,
5/2/2021,46,1543,1720,177,37,0.0,,
6/2/2021,42,651,730,79,17,0.0,,
7/2/2021,,,,,,27.0,,
8/2/2021,46,1940,2240,300,49,0.0,,
9/2/2021,46,1797,1950,153,42,0.0,,
10/2/2021,44,1643,1760,117,40,0.0,,
11/2/2021,45,1607,1720,113,38,6.8,,
12/2/2021,44,1157,1280,123,29,0.0,,
13/2/2021,43,1408,1520,112,35,28.0,,
14/2/2021,,,,,,0.0,,
15/2/2021,44,1211,1260,49,29,0.0,,
16/2/2021,51,1866,2020,154,40,0.0,,
17/2/2021,51,2379,2570,19.1,50,0.0,,
18/2/2021,41,1769,1930,161,47,0.0,,
19/2/2021,47,1658,1830,172,39,0.0,,
20/2/2021,41,2083,2205,122,54,0.0,,
21/2/2021,,,,,,0.0,,
22/2/2021,50,2534,2810,276,56,12.2,,
23/2/2021,49,2257,2390,133,49,1.4,,
24/2/2021,52,2069,2270,201,44,0.0,,
25/2/2021,50,2027,2160,133,43,0.0,,
2/26/2021,46,1465,1650,185,36,0.0,,
2/27/2021,40,1436,1535,99,38,0.0,,
28/2/2021,,,,,,0.0,,
,1122,42676,46715,4039,41,75.4,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Pluckers,Field Wght,Factory W,Variance,Average,Rainfall,Running totals,
1.12.2021,40,1068,1095,27,27,0,1095,
2.12.2021,39,1455,1480,25,38,0,2575,
3.12.2021,38,1218,1235,17,33,4.4,3810,
4.12.2021,40,1120,1115,5,28,1,4925,
5.12.2021,-,-,-,-,-,,-,
6.12.2021,44,886,905,19,21,1.4,5830,
7.12.2021,44,1970,2020,50,46,2.6,7850,
8.12.2021,45,1854,1885,31,42,9.4,9735,
9.12.2021,47,2656,2680,24,57,1,12415,
10.12.2021,38,1506,1540,36,41,1.8,13955,
11.12.2021,46,2030,2055,25,45,-,16010,
12.12.2021,-,-,-,-,-,0,-,
13.12.2021,48,1684,1710,26,36,0,17720,
14.12.2021,44,1645,1620,11,37,0,19340,
15.12.2021,43,1953,2010,57,47,0,21350,
16.12.2021,41,1706,1740,34,42,0,23090,
17.12.2021,42,2036,2100,64,50,0,25190,
